"","X","NAME","PTT_ID","uniqueID","DATE","CODE","LATITUDE","LONGITUDE","DISTANCE","SEASON","HERD","xAlaskaAlb","yAlaskaAlb","dateF","year","month","start","leapYear","dayOfYear","dayD","dist","daysToFindFrom","daysToFind","distX","distY","dist2X","dist2Y"
"26",6159,"S43",5891,"S435891","5/17/89",2,69.021,-139.666,8.1,2,"PCH",575.5628733,2179.598289,05/17/89,1989,"May","noStart",FALSE,137,15,22.5404145841857,137,137,-21.6606876000001,6.23577599999999,-21.6606876000001,6.23577599999999
"27",6164,"S43",5891,"S435891","6/1/89",2,69.418,-143.614,15.59,3,"PCH",411.8079465,2193.227958,06/01/89,1989,"Jun","noStart",FALSE,152,15,164.321160926774,152,153,-163.7549268,13.6296689999999,-163.7549268,13.6296689999999
"28",6170,"S43",5891,"S435891","6/19/89",2,69.446,-144.6,5.89,4,"PCH",372.5658968,2190.45324,06/19/89,1989,"Jun","noStart",FALSE,170,18,39.3400244615683,170,169,-39.2420497,-2.77471800000012,-39.2420497,-2.77471800000012
"29",6174,"S43",5891,"S435891","7/4/89",3,69.996,-146.083,35.53,5,"PCH",306.9281775,2242.777522,07/04/89,1989,"Jul","noStart",FALSE,185,15,83.9412930667685,185,185,-65.6377193,52.324282,-65.6377193,52.324282
"30",6179,"S43",5891,"S435891","7/19/89",3,69.096,-146.756,5.43,6,"PCH",291.7277726,2141.44048,07/19/89,1989,"Jul","noStart",FALSE,200,15,102.47071967364,200,201,-15.2004049,-101.337042,-15.2004049,-101.337042
"31",6185,"S43",5891,"S435891","8/6/89",1,69.001,-146.845,15.72,6,"PCH",289.2848054,2130.644111,08/06/89,1989,"Aug","noStart",FALSE,218,18,11.0693121884081,218,217,-2.4429672,-10.7963690000001,-2.4429672,-10.7963690000001
"33",6195,"S43",5891,"S435891","9/5/89",3,69.393,-146.731,16.18,7,"PCH",289.1582658,2174.05453,09/05/89,1989,"Sep","noStart",FALSE,248,15,13.8685532190431,248,249,12.8797482,-5.14284500000031,12.8797482,-5.14284500000031
"34",6201,"S43",5891,"S435891","9/23/89",1,69.143,-143.304,15.49,7,"PCH",428.8451842,2165.297193,09/23/89,1989,"Sep","noStart",FALSE,266,18,139.961159338653,266,265,139.6869184,-8.75733700000001,139.6869184,-8.75733700000001
"36",6212,"S43",5891,"S435891","10/23/89",2,67.897,-143.114,34.55,8,"PCH",458.8465038,2030.780221,10/23/89,1989,"Oct","noStart",FALSE,296,15,98.7612744374502,296,297,-58.5515941,-79.5330130000002,-58.5515941,-79.5330130000002
"37",6218,"S43",5891,"S435891","11/10/89",2,67.59,-146.351,25.26,8,"PCH",327.0849649,1977.950042,11/10/89,1989,"Nov","noStart",FALSE,314,18,141.958201406147,314,313,-131.7615389,-52.830179,-131.7615389,-52.830179
"38",6223,"S43",5891,"S435891","11/25/89",2,67.475,-146.983,3.5,8,"PCH",301.519478,1962.292947,11/25/89,1989,"Nov","noStart",FALSE,329,15,29.9789717013959,329,329,-25.5654869,-15.657095,-25.5654869,-15.657095
"39",6229,"S43",5891,"S435891","12/10/89",2,67.644,-146.962,3.68,1,"PCH",300.4371712,1981.011012,12/10/89,1989,"Dec","noStart",FALSE,344,15,18.7493291974287,344,345,-1.08230679999997,18.718065,-1.08230679999997,18.718065
"40",6235,"S43",5891,"S435891","12/28/89",2,67.768,-146.962,4.38,1,"PCH",298.9844131,1994.668464,12/28/89,1989,"Dec","noStart",FALSE,362,18,13.7345003997023,362,361,-1.45275810000004,13.6574520000001,-1.45275810000004,13.6574520000001
"42",6242,"S43",5891,"S435891","1/24/90",2,67.761,-146.637,9.31,1,"PCH",312.8153076,1995.394163,01/24/90,1990,"Jan","noStart",FALSE,24,18,7.19911443775389,389,390,-3.49057400000004,6.29628000000002,-3.49057400000004,6.29628000000002
"43",6248,"S43",5891,"S435891","2/11/90",2,67.978,-146.459,23.62,1,"PCH",317.6205438,2020.1098,02/11/90,1990,"Feb","noStart",FALSE,42,18,25.1784234465457,407,406,4.80523620000002,24.715637,4.80523620000002,24.715637
"44",6252,"S43",5891,"S435891","2/26/90",2,67.842,-146.637,1.88,1,"PCH",311.8229967,2004.30798,02/26/90,1990,"Feb","noStart",FALSE,57,15,16.8317874181299,422,422,-5.79754710000003,-15.8018199999999,-5.79754710000003,-15.8018199999999
"49",6666,"S51",5876,"S515876","5/17/89",1,68.9,-138.931,2.24,2,"PCH",607.5743415,2173.130406,05/17/89,1989,"May","noStart",FALSE,137,16,11.0678936426949,137,137,-6.10794970000006,-9.22990899999968,-6.10794970000006,-9.22990899999968
"50",6680,"S51",5876,"S515876","6/2/89",1,69.556,-143.524,2.57,3,"PCH",412.9617706,2208.776557,06/02/89,1989,"Jun","noStart",FALSE,153,16,197.850197961544,153,153,-194.6125709,35.6461509999999,-194.6125709,35.6461509999999
"51",6695,"S51",5876,"S515876","6/17/89",2,69.302,-143.606,1.6,4,"PCH",414.1120778,2180.668699,06/17/89,1989,"Jun","noStart",FALSE,168,15,28.1313861727884,168,169,1.15030719999999,-28.1078580000003,1.15030719999999,-28.1078580000003
"52",6709,"S51",5876,"S515876","7/4/89",2,69.85,-145.398,14.57,5,"PCH",335.3997528,2230.190587,07/04/89,1989,"Jul","noStart",FALSE,185,17,92.9948788804534,185,185,-78.712325,49.5218880000002,-78.712325,49.5218880000002
