"","X","rID","quality","date","day","month","year","season","xdd","ydd","xm","ym","uniqueID","dateF","start","leapYear","dayOfYear","dayD","dist","daysToFindFrom","daysToFind","distX","distY"
"2",19,19,5,"26/1/07",26,"Jan",2007,"Verano",-69.3982,-36.0579,-820.509,-476.515,"caro514",26/01/07,"noStart",FALSE,25,16,6.38825398681047,25,25,-2.49000000000001,-5.88299999999998
"3",21,21,5,"13/2/07",13,"Feb",2007,"Verano",-69.2228,-36.028,-805.425,-472.222,"caro514",13/02/07,"noStart",FALSE,43,18,15.6830132627631,43,41,15.0840000000001,4.29300000000001
"5",29,29,1,"14/3/07",14,"Mar",2007,"Verano",-69.2721,-36.0301,-809.713,-472.724,"caro514",14/03/07,"noStart",FALSE,72,14,2.16931509928817,72,73,-2.16199999999992,-0.177999999999997
"7",36,36,5,"17/4/07",17,"Apr",2007,"Oto켹",-69.2531,-35.9919,-808.318,-468.397,"caro514",17/04/07,"noStart",FALSE,106,15,7.09332362154723,106,105,0.817999999999984,7.04599999999999
"10",46,46,2,"6/6/07",6,"Jun",2007,"Oto켹",-68.8827,-36.2073,-774.552,-490.243,"caro514",06/06/07,"noStart",FALSE,156,20,41.6707327629356,156,153,31.8149999999999,-26.912
"14",51,51,5,"27/9/07",27,"Sep",2007,"Primavera07",-68.818,-36.3151,-768.201,-501.836,"caro514",27/09/07,"noStart",FALSE,269,16,7.27287302240318,269,265,-2.779,-6.721
"17",58,58,5,"7/11/07",7,"Nov",2007,"Primavera07",-69.235,-36.0901,-806.059,-479.17,"caro514",07/11/07,"noStart",FALSE,310,13,22.8092340292259,310,313,-19.631,11.614
"18",61,61,6,"28/11/07",28,"Nov",2007,"Primavera07",-69.2937,-36.0415,-811.513,-474.108,"caro514",28/11/07,"noStart",FALSE,331,21,7.44109938113991,331,329,-5.45400000000006,5.06200000000001
"20",97,97,2,"28/1/07",28,"Jan",2007,"Verano",-69.0352,-36.1257,-788.396,-482.021,"Iris474",28/01/07,"noStart",FALSE,27,19,20.6832706311164,27,25,18.6600000000001,-8.92200000000003
"21",102,102,4,"13/2/07",13,"Feb",2007,"Verano",-69.2755,-36.0122,-810.136,-470.764,"Iris474",13/02/07,"noStart",FALSE,43,16,24.4815777473593,43,41,-21.74,11.257
"23",110,110,5,"15/3/07",15,"Mar",2007,"Verano",-69.0307,-36.0198,-788.729,-470.272,"Iris474",15/03/07,"noStart",FALSE,73,15,10.6714877125918,73,73,10.6609999999999,-0.473000000000013
"24",113,113,2,"18/4/07",18,"Apr",2007,"Oto켹",-68.8131,-36.0396,-769.618,-471.295,"Iris474",18/04/07,"noStart",FALSE,107,34,19.1383606925985,107,105,19.111,-1.02300000000002
"27",123,123,5,"5/6/07",5,"Jun",2007,"Oto켹",-69.2148,-35.9632,-805.182,-465,"Iris474",05/06/07,"noStart",FALSE,155,19,4.37870894214266,155,153,-2.05600000000004,-3.86599999999999
"33",136,136,2,"19/9/07",19,"Sep",2007,"Invierno07",-68.6155,-36.4112,-749.951,-511.436,"Iris474",19/09/07,"noStart",FALSE,261,9,15.1107501137435,261,265,11.92,-9.28699999999998
"35",141,141,3,"6/11/07",6,"Nov",2007,"Primavera07",-68.8092,-36.0957,-768.895,-477.497,"Iris474",06/11/07,"noStart",FALSE,309,34,17.2230370434485,309,313,-10.182,13.891
"36",142,142,5,"29/11/07",29,"Nov",2007,"Primavera07",-68.8328,-36.1126,-770.843,-479.492,"Iris474",29/11/07,"noStart",FALSE,332,23,2.7883201035749,332,329,-1.94799999999998,-1.995
"38",171,171,5,"30/1/07",30,"Jan",2007,"Verano",-69.3642,-36.0078,-817.906,-470.775,"Name213",30/01/07,"noStart",FALSE,29,NA,NA,29,25,NA,NA
"39",175,175,5,"13/2/07",13,"Feb",2007,"Verano",-69.2827,-36.0363,-810.589,-473.475,"Name213",13/02/07,"noStart",FALSE,43,14,7.79926208047907,43,41,7.31699999999989,-2.70000000000005
"41",180,180,5,"14/3/07",14,"Mar",2007,"Verano",-69.2522,-36.0292,-807.98,-472.518,"Name213",14/03/07,"noStart",FALSE,72,14,12.0218747706004,72,73,11.8629999999999,-1.94799999999998
"43",186,186,4,"17/4/07",17,"Apr",2007,"Oto켹",-69.3097,-35.8649,-814.159,-454.645,"Name213",17/04/07,"noStart",FALSE,106,15,18.7481951131302,106,105,-9.35400000000004,16.248
"46",198,198,5,"5/6/07",5,"Jun",2007,"Oto켹",-69.2221,-36.0456,-805.243,-474.17,"Name213",05/06/07,"noStart",FALSE,155,19,2.35018658833713,155,153,1.91599999999994,-1.36099999999999
"53",212,212,5,"19/9/07",19,"Sep",2007,"Invierno07",-68.6332,-36.4022,-751.55,-510.528,"Name213",19/09/07,"noStart",FALSE,261,12,47.9461324091944,261,265,42.702,-21.803
"56",223,223,5,"7/11/07",7,"Nov",2007,"Primavera07",-69.2239,-36.0635,-805.275,-476.165,"Name213",07/11/07,"noStart",FALSE,310,13,5.11790601711284,310,313,-3.471,3.76099999999997
"57",228,228,5,"28/11/07",28,"Nov",2007,"Primavera07",-69.3121,-36.0248,-813.24,-472.359,"Name213",28/11/07,"noStart",FALSE,331,21,8.82761921471474,331,329,-7.96500000000003,3.80600000000004
"60",364,364,4,"23/01/07",23,"Jan",2007,"Verano",-69.2797,-36.0742,-810.067,-477.656,"pablo097",23/01/07,"noStart",FALSE,22,14,5.67817329781335,22,25,-3.59400000000005,-4.39600000000002
"61",368,368,2,"8/2/07",8,"Feb",2007,"Verano",-69.173,-36.0499,-800.93,-474.378,"pablo097",08/02/07,"noStart",FALSE,38,16,9.70721654234628,38,41,9.13700000000006,3.27800000000002
"63",373,373,2,"14/3/07",14,"Mar",2007,"Verano",-69.3117,-36.0294,-813.174,-472.871,"pablo097",14/03/07,"noStart",FALSE,72,22,2.95935296982291,72,73,-2.86299999999994,0.749000000000024
"65",379,379,2,"17/4/07",17,"Apr",2007,"Oto켹",-69.2247,-36.0059,-805.75,-469.786,"pablo097",17/04/07,"noStart",FALSE,106,15,4.67985491228091,106,105,1.56899999999996,4.40899999999999
"68",384,384,5,"5/6/07",5,"Jun",2007,"Oto켹",-69.3288,-36.0925,-814.212,-479.953,"pablo097",05/06/07,"noStart",FALSE,155,12,2.56687455868028,155,153,-0.54200000000003,2.50900000000001
"73",398,398,2,"20/9/07",20,"Sep",2007,"Invierno07",-69.3437,-36.0423,-815.865,-474.482,"pablo097",20/09/07,"noStart",FALSE,262,13,9.06555552627639,262,265,-8.86400000000003,1.90099999999995
"76",409,409,5,"7/11/07",7,"Nov",2007,"Primavera07",-69.2499,-36.0656,-807.525,-476.535,"pablo097",07/11/07,"noStart",FALSE,310,13,11.8557044919313,310,313,11.823,-0.880000000000052
"77",413,413,5,"28/11/07",28,"Nov",2007,"Primavera07",-69.3393,-36.0311,-815.561,-473.214,"pablo097",28/11/07,"noStart",FALSE,331,21,8.69519045219834,331,329,-8.03600000000006,3.32100000000003
"80",459,459,4,"23/1/07",23,"Jan",2007,"Verano",-69.203,-36.0395,-803.623,-473.39,"su394",23/01/07,"noStart",FALSE,22,14,2.47267062100877,22,25,1.81799999999998,1.67599999999999
"81",463,463,2,"13/2/07",13,"Feb",2007,"Verano",-69.2726,-36.0326,-809.74,-473.011,"su394",13/02/07,"noStart",FALSE,43,21,6.12872988473138,43,41,-6.11699999999996,0.378999999999962
"83",467,467,3,"14/3/07",14,"Mar",2007,"Verano",-69.2398,-36.0279,-806.908,-472.301,"su394",14/03/07,"noStart",FALSE,72,14,3.8218169762562,72,73,3.44200000000001,1.661
"85",475,475,5,"17/4/07",17,"Apr",2007,"Oto켹",-69.2492,-36.0243,-807.756,-471.96,"su394",17/04/07,"noStart",FALSE,106,15,2.78710333500573,106,105,-2.37900000000002,1.452
"88",485,485,5,"5/6/07",5,"Jun",2007,"Oto켹",-69.3057,-36.0266,-812.665,-472.527,"su394",05/06/07,"noStart",FALSE,155,19,6.13200945857058,155,153,-5.93599999999992,-1.53800000000001
"93",491,491,2,"19/9/07",19,"Sep",2007,"Invierno07",-68.6785,-36.3265,-755.984,-502.379,"su394",19/09/07,"noStart",FALSE,261,22,40.8097273943358,261,265,38.375,-13.885
"96",503,503,5,"7/11/07",7,"Nov",2007,"Primavera07",-69.273,-36.0068,-809.952,-470.158,"su394",07/11/07,"noStart",FALSE,310,13,6.3403331931374,310,313,-4.00900000000001,4.91199999999998
"97",508,508,5,"28/11/07",28,"Nov",2007,"Primavera07",-69.2588,-36.0168,-808.641,-471.182,"su394",28/11/07,"noStart",FALSE,331,21,1.66351946186394,331,329,1.31100000000004,-1.024
