"","status","id","id_argos","date","time","velE","velN","lat","long","temp","xm","ym","dist","dist_Paula","xMercator","yMercator","vel","dateF","timeF","timeMong","dayF","dayOfYear","year","nameModis","hoursD","hoursD_Paula","month","daysToFindFrom"
"1","Capture","602189",76796,"2007.09.06","5:00:00",NA,NA,47.03533,114.99896,NA,1367.587,2040.351,NA,7562,12801626,5916560,NA,(07.09.06 05:00:00),05:00:00,13,09/06/07,249,"2007","2007225_merc",0,26,"Sep",249
"2","Recovered","602189",76796,"2007.09.07","7:00:37",0,0.005,47.082902,114.920509,38,1361.17,2044.351,7562,4489,12792893,5924310,0.005,(07.09.07 07:00:37),07:00:37,15,09/07/07,250,"2007","2007225_merc",26,5,"Sep",250
"3","Recovered","602189",76796,"2007.09.07","12:00:37",2.36,2.06,47.120546,114.944088,24,1361.855,2048.787,4489,4094,12795517,5930447,3.13260275170664,(07.09.07 12:00:37),12:00:37,20,09/07/07,250,"2007","2007225_merc",5,5,"Sep",250
"4","Recovered","602189",76796,"2007.09.07","17:00:39",-0.5,-0.94,47.096079,114.988541,22,1365.429,2046.79,4094,5120,12800466,5926457,1.06470653233649,(07.09.07 17:00:39),17:00:39,1,09/07/07,250,"2007","2007225_merc",5,5,"Sep",250
"5","Recovered","602189",76796,"2007.09.07","22:00:37",7.78,14.64,47.052161,115.010928,22,1367.988,2042.356,5120,1852,12802958,5919301,16.5788419378435,(07.09.07 22:00:37),22:00:37,6,09/07/07,250,"2007","2007225_merc",5,5,"Sep",250
"6","Recovered","602189",76796,"2007.09.08","3:00:37",0.01,0,47.044738,114.986861,33,1366.547,2041.192,1852,513,12800279,5918092,0.01,(07.09.08 03:00:37),03:00:37,11,09/08/07,251,"2007","2007225_merc",5,5,"Sep",251
"7","Recovered","602189",76796,"2007.09.08","8:00:37",0.005,-0.005,47.040462,114.984058,35,1366.461,2040.686,513,5170,12799967,5917396,0.00707106781186548,(07.09.08 08:00:37),08:00:37,16,09/08/07,251,"2007","2007225_merc",5,5,"Sep",251
"8","Recovered","602189",76796,"2007.09.08","13:00:37",-0.02,0.02,47.078937,115.026206,21,1368.373,2045.489,5170,197,12804659,5923663,0.0282842712474619,(07.09.08 13:00:37),13:00:37,21,09/08/07,251,"2007","2007225_merc",5,5,"Sep",251
"9","Recovered","602189",76796,"2007.09.08","18:01:06",-0.02,0.06,47.077167,115.026098,21,1368.408,2045.296,197,3960,12804647,5923375,0.0632455532033676,(07.09.08 18:01:06),18:01:06,2,09/08/07,251,"2007","2007225_merc",5,5,"Sep",251
"10","Recovered","602189",76796,"2007.09.08","23:00:36",-3.84,-1.12,47.084461,114.969819,23,1364.449,2045.251,3960,932,12798382,5924564,4,(07.09.08 23:00:36),23:00:36,7,09/08/07,251,"2007","2007225_merc",5,5,"Sep",251
"11","Recovered","602189",76796,"2007.09.09","4:00:36",0.02,0.04,47.084551,114.956293,37,1363.537,2045.06,932,2009,12796876,5924578,0.0447213595499958,(07.09.09 04:00:36),04:00:36,12,09/09/07,252,"2007","2007225_merc",5,5,"Sep",252
"12","Recovered","602189",76796,"2007.09.09","9:00:37",-0.02,0.1,47.09403,114.981133,32,1364.98,2046.458,2009,2366,12799641,5926123,0.101980390271856,(07.09.09 09:00:37),09:00:37,17,09/09/07,252,"2007","2007225_merc",5,5,"Sep",252
"13","Recovered","602189",76796,"2007.09.09","14:00:36",0.01,0.015,47.090707,115.015068,23,1367.341,2046.601,2366,144,12803419,5925582,0.0180277563773199,(07.09.09 14:00:36),14:00:36,22,09/09/07,252,"2007","2007225_merc",5,5,"Sep",252
"14","Recovered","602189",76796,"2007.09.09","19:00:36",0.02,0.03,47.089893,115.013432,24,1367.251,2046.489,144,915,12803237,5925449,0.0360555127546399,(07.09.09 19:00:36),19:00:36,3,09/09/07,252,"2007","2007225_merc",5,5,"Sep",252
"15","Recovered","602189",76796,"2007.09.10","0:00:37",-0.065,-0.04,47.083738,115.004621,23,1366.806,2045.69,915,4446,12802256,5924446,0.0763216876123687,(07.09.10 00:00:37),00:00:37,8,09/10/07,253,"2007","2007225_merc",5,5,"Sep",253
"16","Recovered","602189",76796,"2007.09.10","5:00:37",-0.005,-0.01,47.07617,114.941239,35,1362.725,2043.927,4446,2229,12795200,5923213,0.0111803398874989,(07.09.10 05:00:37),05:00:37,13,09/10/07,253,"2007","2007225_merc",5,5,"Sep",253
"17","Recovered","602189",76796,"2007.09.10","10:00:37",-0.795,0.515,47.079589,114.909352,25,1360.498,2043.826,2229,2825,12791651,5923770,0.947232811931681,(07.09.10 10:00:37),10:00:37,18,09/10/07,253,"2007","2007225_merc",5,5,"Sep",253
"18","Recovered","602189",76796,"2007.09.10","15:00:37",-0.03,0,47.06887,114.872158,21,1358.252,2042.113,2825,300,12787510,5922023,0.03,(07.09.10 15:00:37),15:00:37,23,09/10/07,253,"2007","2007225_merc",5,5,"Sep",253
"19","Recovered","602189",76796,"2007.09.10","20:00:36",-0.005,0.01,47.066186,114.871649,22,1358.282,2041.814,300,34450,12787453,5921586,0.0111803398874989,(07.09.10 20:00:36),20:00:36,4,09/10/07,253,"2007","2007225_merc",5,244,"Sep",253
"20","Recovered","602189",76796,"2007.09.21","0:01:06",-0.635,-0.055,46.891094,115.283637,21,1390.247,2028.967,34450,1903,12833316,5893107,0.637377439199098,(07.09.21 00:01:06),00:01:06,8,09/21/07,264,"2007","2007241_merc",244,5,"Sep",264
"21","Recovered","602189",76796,"2007.09.21","5:01:00",-0.46,-0.61,46.882781,115.259569,26,1388.826,2027.702,1903,1752,12830637,5891757,0.764002617796562,(07.09.21 05:01:00),05:01:00,13,09/21/07,264,"2007","2007241_merc",5,5,"Sep",264
"22","Recovered","602189",76796,"2007.09.21","10:01:06",-0.13,-0.565,46.869915,115.274196,23,1390.126,2026.527,1752,1342,12832265,5889669,0.579762882564933,(07.09.21 10:01:06),10:01:06,18,09/21/07,264,"2007","2007241_merc",5,5,"Sep",264
"23","Recovered","602189",76796,"2007.09.21","15:00:36",0.01,0.08,46.868835,115.254867,19,1388.848,2026.118,1342,117,12830113,5889493,0.0806225774829855,(07.09.21 15:00:36),15:00:36,23,09/21/07,264,"2007","2007241_merc",5,5,"Sep",264
"24","Recovered","602189",76796,"2007.09.21","20:01:05",0.38,0.24,46.867933,115.253994,21,1388.811,2026.007,117,6238,12830016,5889347,0.449444101084885,(07.09.21 20:01:05),20:01:05,4,09/21/07,264,"2007","2007241_merc",5,5,"Sep",264
"25","Recovered","602189",76796,"2007.09.22","1:01:09",-3.78,0.74,46.87921,115.165585,23,1382.574,2025.898,6238,7480,12820174,5891178,3.8517528477305,(07.09.22 01:01:09),01:01:09,9,09/22/07,265,"2007","2007241_merc",5,5,"Sep",265
"26","Recovered","602189",76796,"2007.09.22","6:00:36",-0.01,0.005,46.91172,115.070799,31,1375.396,2028.005,7480,6641,12809623,5896457,0.0111803398874989,(07.09.22 06:00:36),06:00:36,14,09/22/07,265,"2007","2007241_merc",5,5,"Sep",265
"27","Recovered","602189",76796,"2007.09.22","11:00:36",-0.5,-0.02,46.893062,114.97948,24,1369.685,2024.617,6641,3476,12799457,5893427,0.500399840127872,(07.09.22 11:00:36),11:00:36,19,09/22/07,265,"2007","2007241_merc",5,5,"Sep",265
"28","Recovered","602189",76796,"2007.09.22","16:00:37",-0.12,0.18,46.861816,114.977516,22,1370.301,2021.196,3476,496,12799239,5888354,0.216333076527839,(07.09.22 16:00:37),16:00:37,0,09/22/07,265,"2007","2007241_merc",5,5,"Sep",265
"29","Recovered","602189",76796,"2007.09.22","21:00:36",0.01,0.03,46.857372,114.978082,21,1370.445,2020.722,496,4551,12799302,5887633,0.0316227766016838,(07.09.22 21:00:36),21:00:36,5,09/22/07,265,"2007","2007241_merc",5,5,"Sep",265
