"","name","year","month","day","hour","xm","ym","dateF","start","leapYear","dayOfYear","dayD","dist","daysToFindFrom"
"10026","F6","2007","Oct",13,11,1806.201,506.666,13-10-07,"start",FALSE,285,NA,NA,285
"10027","F6","2007","Oct",13,12,1806.204,506.537,13-10-07,"noStart",FALSE,285,0,129.034879005639,285
"10028","F6","2007","Oct",13,12,1806.194,506.504,13-10-07,"noStart",FALSE,285,0,34.4818792991333,285
"10029","F6","2007","Oct",13,13,1806.172,506.474,13-10-07,"noStart",FALSE,285,0,37.2021504754766,285
"10030","F6","2007","Oct",13,15,1806.172,506.476,13-10-07,"noStart",FALSE,285,0,2,285
"10031","F6","2007","Oct",13,16,1806.226,506.502,13-10-07,"noStart",FALSE,285,0,59.9332962550868,285
"10032","F6","2007","Oct",13,17,1806.231,506.582,13-10-07,"noStart",FALSE,285,0,80.156097709407,285
"10033","F6","2007","Oct",13,18,1806.243,506.544,13-10-07,"noStart",FALSE,285,0,39.8497176903426,285
"10034","F6","2007","Oct",13,20,1806.245,506.56,13-10-07,"noStart",FALSE,285,0,16.1245154965971,285
"10035","F6","2007","Oct",13,21,1806.408,506.472,13-10-07,"noStart",FALSE,285,0,185.237685150727,285
"10036","F6","2007","Oct",13,23,1806.362,506.493,13-10-07,"noStart",FALSE,285,0,50.5667875190821,285
"10037","F6","2007","Oct",14,1,1806.342,506.506,14-10-07,"noStart",FALSE,286,1,23.8537208837531,286
"10038","F6","2007","Oct",14,2,1806.366,506.5,14-10-07,"noStart",FALSE,286,0,24.738633753706,286
"10039","F6","2007","Oct",14,3,1806.327,506.576,14-10-07,"noStart",FALSE,286,0,85.4224794770089,286
"10040","F6","2007","Oct",14,4,1806.311,506.616,14-10-07,"noStart",FALSE,286,0,43.081318457076,286
"10041","F6","2007","Oct",14,6,1806.308,506.606,14-10-07,"noStart",FALSE,286,0,10.4403065089106,286
"10042","F6","2007","Oct",14,8,1806.309,506.633,14-10-07,"noStart",FALSE,286,0,27.0185121722126,286
"10043","F6","2007","Oct",14,9,1806.28,506.62,14-10-07,"noStart",FALSE,286,0,31.7804971641414,286
"10044","F6","2007","Oct",14,11,1806.283,506.625,14-10-07,"noStart",FALSE,286,0,5.8309518948453,286
"10045","F6","2007","Oct",14,12,1806.302,506.741,14-10-07,"noStart",FALSE,286,0,117.545735779738,286
"10046","F6","2007","Oct",14,13,1806.297,506.945,14-10-07,"noStart",FALSE,286,0,204.0612653102,286
"10047","F6","2007","Oct",14,14,1806.319,506.952,14-10-07,"noStart",FALSE,286,0,23.0867927612304,286
"10048","F6","2007","Oct",14,16,1806.326,506.971,14-10-07,"noStart",FALSE,286,0,20.2484567313166,286
"10049","F6","2007","Oct",14,17,1806.348,506.938,14-10-07,"noStart",FALSE,286,0,39.6610640301039,286
"10050","F6","2007","Oct",14,18,1806.327,506.951,14-10-07,"noStart",FALSE,286,0,24.6981780704569,286
"10051","F6","2007","Oct",14,19,1806.272,506.906,14-10-07,"noStart",FALSE,286,0,71.0633520177595,286
"10052","F6","2007","Oct",14,21,1806.35,506.743,14-10-07,"noStart",FALSE,286,0,180.701411173239,286
"10053","F6","2007","Oct",14,22,1806.368,506.585,14-10-07,"noStart",FALSE,286,0,159.022011055074,286
"10054","F6","2007","Oct",15,0,1806.369,506.497,15-10-07,"noStart",FALSE,287,1,88.0056816347672,287
"10055","F6","2007","Oct",15,2,1806.367,506.506,15-10-07,"noStart",FALSE,287,0,9.21954445729289,287
"10056","F6","2007","Oct",15,3,1806.285,506.604,15-10-07,"noStart",FALSE,287,0,127.781062759706,287
"10057","F6","2007","Oct",15,5,1806.314,506.597,15-10-07,"noStart",FALSE,287,0,29.8328677803526,287
"10058","F6","2007","Oct",15,7,1806.282,506.623,15-10-07,"noStart",FALSE,287,0,41.2310562561766,287
"10059","F6","2007","Oct",15,9,1806.269,506.653,15-10-07,"noStart",FALSE,287,0,32.6955654485436,287
"10060","F6","2007","Oct",15,10,1806.271,506.676,15-10-07,"noStart",FALSE,287,0,23.0867927612304,287
"10061","F6","2007","Oct",15,12,1806.383,506.763,15-10-07,"noStart",FALSE,287,0,141.820308841858,287
"10062","F6","2007","Oct",15,13,1806.52,507.221,15-10-07,"noStart",FALSE,287,0,478.051252482409,287
"10063","F6","2007","Oct",15,14,1806.489,506.939,15-10-07,"noStart",FALSE,287,0,283.698783924077,287
"10064","F6","2007","Oct",15,15,1806.538,507.215,15-10-07,"noStart",FALSE,287,0,280.315893234758,287
"10065","F6","2007","Oct",15,17,1806.54,507.222,15-10-07,"noStart",FALSE,287,0,7.28010988928052,287
"10066","F6","2007","Oct",15,18,1806.533,507.233,15-10-07,"noStart",FALSE,287,0,13.0384048104053,287
