"individualID","overlapID","scanTimeCT","scanTimeLT","timeCT","timeLT","longitude","latitude"
"2670",2,933033600,1999-07-27,933033600,1999-07-27,-149.713,63.491
"2681",2,933033600,1999-07-27,933033600,1999-07-27,-150.208,63.622
"2685",2,933033600,1999-07-27,933033600,1999-07-27,-149.984,63.572
"2670",18,935798400,1999-08-28,935798400,1999-08-28,-149.897,63.538
"2681",18,935798400,1999-08-28,935798400,1999-08-28,-150.152,63.619
"2685",18,935798400,1999-08-28,935798400,1999-08-28,-149.974,63.56
"2670",24,936835200,1999-09-09,936835200,1999-09-09,-150.003,63.52
"2681",24,936835200,1999-09-09,936835200,1999-09-09,-150.102,63.614
"2685",24,936835200,1999-09-09,936835200,1999-09-09,-149.984,63.583
"2670",25,937008000,1999-09-11,937008000,1999-09-11,-149.956,63.532
"2681",25,937008000,1999-09-11,937008000,1999-09-11,-150.201,63.615
"2685",25,937008000,1999-09-11,937008000,1999-09-11,-149.388,63.536
"2670",26,937180800,1999-09-13,937180800,1999-09-13,-149.886,63.536
"2681",26,937180800,1999-09-13,937180800,1999-09-13,-150.257,63.593
"2685",26,937180800,1999-09-13,937180800,1999-09-13,-149.942,63.616
"2670",27,937353600,1999-09-15,937353600,1999-09-15,-149.945,63.542
"2681",27,937353600,1999-09-15,937353600,1999-09-15,-150.184,63.615
"2685",27,937353600,1999-09-15,937353600,1999-09-15,-150.005,63.573
"2670",28,937526400,1999-09-17,937526400,1999-09-17,-149.84,63.565
"2681",28,937526400,1999-09-17,937526400,1999-09-17,-150.301,63.523
"2685",28,937526400,1999-09-17,937526400,1999-09-17,-150.058,63.633
"2670",37,939081600,1999-10-05,939081600,1999-10-05,-147.099,63.427
"2681",37,939081600,1999-10-05,939081600,1999-10-05,-146.793,63.79
"2685",37,939081600,1999-10-05,939081600,1999-10-05,-127.735,56.202
"2670",38,939254400,1999-10-07,939254400,1999-10-07,-146.44,62.984
"2681",38,939254400,1999-10-07,939254400,1999-10-07,-144.589,63.629
"2685",38,939254400,1999-10-07,939254400,1999-10-07,-127.146,55.844
"2670",39,939427200,1999-10-09,939427200,1999-10-09,-145.971,62.905
"2681",39,939427200,1999-10-09,939427200,1999-10-09,-143.014,63.149
"2685",39,939427200,1999-10-09,939427200,1999-10-09,-121.965,53.914
"2670",40,939600000,1999-10-11,939600000,1999-10-11,-142.292,62.404
"2681",40,939600000,1999-10-11,939600000,1999-10-11,-139.864,62.082
"2685",40,939600000,1999-10-11,939600000,1999-10-11,-120.744,53.077
"2670",41,939772800,1999-10-13,939772800,1999-10-13,-140.36,61.838
"2681",41,939772800,1999-10-13,939772800,1999-10-13,-136.982,61.643
"2685",41,939772800,1999-10-13,939772800,1999-10-13,-120.016,51.71
"2670",42,939945600,1999-10-15,939945600,1999-10-15,-138.888,61.361
"2681",42,939945600,1999-10-15,939945600,1999-10-15,-137.056,61.655
"2685",42,939945600,1999-10-15,939945600,1999-10-15,-120.158,51.126
"2670",43,940118400,1999-10-17,940118400,1999-10-17,-137.043,61.015
"2681",43,940118400,1999-10-17,940118400,1999-10-17,-134.882,61.504
"2685",43,940118400,1999-10-17,940118400,1999-10-17,-120.219,51.02
"2670",44,940291200,1999-10-19,940291200,1999-10-19,-129.574,60.866
"2681",44,940291200,1999-10-19,940291200,1999-10-19,-130.297,60.978
"2685",44,940291200,1999-10-19,940291200,1999-10-19,-120.212,50.972
"2670",45,940464000,1999-10-21,940464000,1999-10-21,-124.67,58.047
"2681",45,940464000,1999-10-21,940464000,1999-10-21,-121.802,58.148
"2685",45,940464000,1999-10-21,940464000,1999-10-21,-120.283,51.025
"2670",46,940636800,1999-10-23,940636800,1999-10-23,-123.16,57.105
"2681",46,940636800,1999-10-23,940636800,1999-10-23,-121.051,57.884
"2685",46,940636800,1999-10-23,940636800,1999-10-23,-120.228,50.998
"2670",48,940982400,1999-10-27,940982400,1999-10-27,-121.292,55.843
"2681",48,940982400,1999-10-27,940982400,1999-10-27,-117.231,56.967
"2685",48,940982400,1999-10-27,940982400,1999-10-27,-120.306,50.237
"2670",59,942883200,1999-11-18,942883200,1999-11-18,-118.536,54.35
"2681",59,942883200,1999-11-18,942883200,1999-11-18,-110.911,53.992
"2685",59,942883200,1999-11-18,942883200,1999-11-18,-119.649,48.358
"2670",79,946339200,1999-12-28,946339200,1999-12-28,-115.983,53.731
"2681",79,946339200,1999-12-28,946339200,1999-12-28,-109.538,50.952
"2685",79,946339200,1999-12-28,946339200,1999-12-28,-119.65,48.867
"2670",82,946857600,2000-01-03,946857600,2000-01-03,-115.931,53.795
"2681",82,946857600,2000-01-03,946857600,2000-01-03,-109.714,50.941
"2685",82,946857600,2000-01-03,946857600,2000-01-03,-119.645,48.838
"2670",86,947548800,2000-01-11,947548800,2000-01-11,-115.832,53.873
"2681",86,947548800,2000-01-11,947548800,2000-01-11,-109.731,50.929
"2685",86,947548800,2000-01-11,947548800,2000-01-11,-119.712,48.635
"2670",115,952560000,2000-03-09,952560000,2000-03-09,-116.034,53.86
"2681",115,952560000,2000-03-09,952560000,2000-03-09,-109.613,50.995
"2685",115,952560000,2000-03-09,952560000,2000-03-09,-119.574,48.999
"2670",116,952732800,2000-03-11,952732800,2000-03-11,-115.908,53.856
"2681",116,952732800,2000-03-11,952732800,2000-03-11,-109.657,50.923
"2685",116,952732800,2000-03-11,952732800,2000-03-11,-119.636,48.765
"2670",117,952905600,2000-03-13,952905600,2000-03-13,-115.904,53.863
"2681",117,952905600,2000-03-13,952905600,2000-03-13,-109.683,50.904
"2685",117,952905600,2000-03-13,952905600,2000-03-13,-119.697,48.779
"2670",118,953078400,2000-03-15,953078400,2000-03-15,-115.957,53.853
"2681",118,953078400,2000-03-15,953078400,2000-03-15,-109.787,50.948
"2685",118,953078400,2000-03-15,953078400,2000-03-15,-119.731,49.506
"2670",119,953251200,2000-03-17,953251200,2000-03-17,-116.053,53.899
"2681",119,953251200,2000-03-17,953251200,2000-03-17,-109.952,50.964
"2685",119,953251200,2000-03-17,953251200,2000-03-17,-119.734,49.525
"2670",120,953424000,2000-03-19,953424000,2000-03-19,-115.912,53.896
"2681",120,953424000,2000-03-19,953424000,2000-03-19,-109.892,50.957
"2685",120,953424000,2000-03-19,953424000,2000-03-19,-119.663,48.845
"2670",121,953596800,2000-03-21,953596800,2000-03-21,-115.767,53.889
"2681",121,953596800,2000-03-21,953596800,2000-03-21,-109.656,50.944
"2685",121,953596800,2000-03-21,953596800,2000-03-21,-119.617,48.83
"2670",130,955152000,2000-04-08,955152000,2000-04-08,-115.776,53.83
"2681",130,955152000,2000-04-08,955152000,2000-04-08,-114.181,49.852
"2685",130,955152000,2000-04-08,955152000,2000-04-08,-119.681,48.822
"2670",131,955324800,2000-04-10,955324800,2000-04-10,-115.636,53.823
"2681",131,955324800,2000-04-10,955324800,2000-04-10,-114.037,49.94
"2685",131,955324800,2000-04-10,955324800,2000-04-10,-119.526,48.858
"2670",132,955497600,2000-04-12,955497600,2000-04-12,-115.967,53.905
"2681",132,955497600,2000-04-12,955497600,2000-04-12,-114.167,49.777
"2685",132,955497600,2000-04-12,955497600,2000-04-12,-120.472,50.246
"2670",147,958089600,2000-05-12,958089600,2000-05-12,-141.515,61.719
"2681",147,958089600,2000-05-12,958089600,2000-05-12,-147.456,62.124
"2685",147,958089600,2000-05-12,958089600,2000-05-12,-144.226,62.699
"2670",163,960854400,2000-06-13,960854400,2000-06-13,-151.733,62.593
"2681",163,960854400,2000-06-13,960854400,2000-06-13,-147.841,62.614
"2685",163,960854400,2000-06-13,960854400,2000-06-13,-144.47,63.375
"2670",166,961372800,2000-06-19,961372800,2000-06-19,-151.623,62.597
"2681",166,961372800,2000-06-19,961372800,2000-06-19,-147.957,62.609
"2685",166,961372800,2000-06-19,961372800,2000-06-19,-146.63,62.656
"2670",173,962582400,2000-07-03,962582400,2000-07-03,-151.671,62.58
"2681",173,962582400,2000-07-03,962582400,2000-07-03,-148.009,62.621
"2685",173,962582400,2000-07-03,962582400,2000-07-03,-149.238,60.633
"2670",185,964656000,2000-07-27,964656000,2000-07-27,-148.777,63.655
"2681",185,964656000,2000-07-27,964656000,2000-07-27,-147.457,63.803
"2685",185,964656000,2000-07-27,964656000,2000-07-27,-145.564,63.593
"2670",186,964828800,2000-07-29,964828800,2000-07-29,-148.937,63.79
"2681",186,964828800,2000-07-29,964828800,2000-07-29,-147.376,63.949
"2685",186,964828800,2000-07-29,964828800,2000-07-29,-145.508,63.627
"2670",189,965347200,2000-08-04,965347200,2000-08-04,-148.764,63.831
"2681",189,965347200,2000-08-04,965347200,2000-08-04,-144.369,65.381
"2685",189,965347200,2000-08-04,965347200,2000-08-04,-145.576,63.603
"2670",191,965692800,2000-08-08,965692800,2000-08-08,-148.495,63.827
"2681",191,965692800,2000-08-08,965692800,2000-08-08,-143.472,64.793
"2685",191,965692800,2000-08-08,965692800,2000-08-08,-145.423,63.534
"2670",192,965865600,2000-08-10,965865600,2000-08-10,-148.621,63.877
"2681",192,965865600,2000-08-10,965865600,2000-08-10,-143.391,64.43
"2685",192,965865600,2000-08-10,965865600,2000-08-10,-144.998,63.623
